City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
320,Ilesha,7,NG,1612652369,91,7.1371,5.2583,74.62,3.85
321,Río Hato,20,PA,1612652369,70,8.3833,-80.1667,86.0,4.61
322,Ati,26,TD,1612652369,23,13.2154,18.3353,66.43,10.47
323,Seoul,90,KR,1612652193,100,37.5683,126.9778,35.6,6.91
324,Thurso,90,GB,1612652369,60,58.5927,-3.5259,35.6,24.16
325,Karatau,100,KZ,1612652370,72,43.1667,70.4667,41.11,16.73
326,Inuvik,100,CA,1612652370,76,68.3499,-133.7218,-20.2,4.61
327,Belyy Yar,63,RU,1612652370,92,53.6039,91.3903,6.8,2.24
328,Suntar,99,RU,1612652370,88,62.1444,117.6319,-19.37,2.51
329,Zakamensk,64,RU,1612652370,83,50.3741,103.2863,-3.48,3.33
330,Fort Nelson,1,CA,1612652371,69,58.8053,-122.7002,-16.6,3.44
331,Tomatlán,16,MX,1612652371,57,19.9333,-105.25,80.87,8.05
332,Beloha,9,MG,1612652198,94,-25.1667,45.05,74.84,5.21
333,Nabire,100,ID,1612652371,78,-3.3667,135.4833,78.22,2.73
334,Yinchuan,0,CN,1612652372,79,38.4681,106.2731,29.23,5.12
335,Socorro,1,US,1612652372,13,31.6546,-106.3033,62.6,3.78
336,Rafrāf,20,TN,1612652372,42,37.1904,10.1837,64.4,3.44
337,Yangi Marg`ilon,100,UZ,1612652278,49,40.4272,71.7189,42.8,4.61
338,Saint-Augustin,100,CA,1612652372,95,51.226,-58.6502,33.19,21.79
339,Katobu,100,ID,1612652373,90,-4.9408,122.5276,77.94,0.96
340,Médéa,40,DZ,1612652373,88,36.2642,2.7539,55.4,6.91
341,Ilulissat,9,GL,1612652373,39,69.2167,-51.1,24.8,21.85
342,Severo-Kuril'sk,100,RU,1612652373,93,50.6789,156.125,21.97,14.05
343,Grootfontein,100,NA,1612652109,82,-19.5667,18.1167,69.46,4.14
344,Kavaratti,5,IN,1612652374,60,10.5669,72.642,81.16,10.42
345,Waipawa,100,NZ,1612652374,72,-41.4122,175.5153,70.0,10.36
346,Isfahan,40,IR,1612652374,49,32.6572,51.6776,46.4,4.61
347,Nhulunbuy,75,AU,1612652374,78,-12.2333,136.7667,82.4,11.5
348,Payson,40,US,1612652375,34,40.0444,-111.7321,48.2,4.61
349,La Santisima Trinidad,75,BO,1612652375,55,-14.8333,-64.9,89.6,1.72
